category1,category2,P_score,R_score,F1_score
SES,SES,0.5985142754088514,0.6077292521559206,0.6026736204822389
SES,age,0.5965548746673036,0.5988612189484686,0.5972372652002602
SES,disability,0.5862079718599098,0.5760520714872169,0.5805761889644413
SES,disease,0.582087338477712,0.5737827307116247,0.5774755910704691
SES,educational_qualification,0.5904734060214775,0.5918408991782498,0.5905150691355221
SES,ethnicity,0.5890255877244767,0.5533170037038944,0.5699951759424668
SES,gender,0.5928754183057617,0.6028675952219753,0.5973362486742534
SES,nationality,0.5955136544889302,0.5939518061507548,0.5943213533635855
SES,physical_appearance,0.5899209930505259,0.5873053579961217,0.5880018146687008
SES,race,0.5966888154254648,0.5890823408124776,0.5922868403644107
SES,region,0.5979189427448901,0.5878802078306339,0.5924006664387638
SES,religion,0.5852540669503792,0.5803327036063715,0.5821771871668473
SES,sexual_orientation,0.5800783956566993,0.5728054532274686,0.5757906424778264
age,age,0.6024964037841822,0.6005354403169052,0.6010142832918142
age,disability,0.5866729173711597,0.5739002738884728,0.579663907995662
age,disease,0.5880642159242772,0.576910700965783,0.5819585451379419
age,educational_qualification,0.5916857281101625,0.5907930798016936,0.5905877437016797
age,ethnicity,0.5921592960982996,0.5548690620066162,0.5722137995924005
age,gender,0.5963643678897557,0.6038807565084628,0.5995815051693788
age,nationality,0.6005378057384042,0.5970379306235026,0.5983243879805495
age,physical_appearance,0.5923232537655371,0.5873153708812686,0.5891679787908395
age,race,0.5987424853728417,0.5892275762829662,0.5933348068675611
age,region,0.5991932609391447,0.5873889347945902,0.5927188130511086
age,religion,0.5901284092470646,0.5831167875369347,0.5859611771902805
age,sexual_orientation,0.584660257897243,0.574763165239278,0.5789976676083708
disability,disability,0.5879257922917958,0.5926362454991625,0.5896485984236147
disability,disease,0.5875795822833559,0.5893381162106905,0.5879238605395681
disability,educational_qualification,0.5737933530296513,0.5856507054907892,0.5789312035846177
disability,ethnicity,0.5731425624289234,0.5471786009210601,0.5592050013314367
disability,gender,0.5717909484331524,0.592926574770005,0.5815857771410051
disability,nationality,0.5716806158159418,0.580388124559135,0.5754954280489135
disability,physical_appearance,0.5753698901138342,0.5835094670402049,0.5787163637275968
disability,race,0.5774635234253477,0.5804009261797831,0.578263806575544
disability,region,0.5726724641166137,0.5725184706356684,0.5720610429335217
disability,religion,0.5656473422214853,0.5705405553464583,0.5673596955797999
disability,sexual_orientation,0.5738622957502351,0.5778143917490892,0.5751216292327527
disease,disease,0.605660121959225,0.605689856823956,0.6051807979422135
disease,educational_qualification,0.5772415629937977,0.5874857699169698,0.5816625437426087
disease,ethnicity,0.573561250879509,0.5465289282417485,0.5591396174692501
disease,gender,0.57393943591021,0.5936785539645997,0.5831342381762938
disease,nationality,0.5732450155452761,0.5803849777794986,0.5763727413734129
disease,physical_appearance,0.5792342725342454,0.5857377132207262,0.5818263983632267
disease,race,0.5773387630424495,0.5788366260516286,0.5775190712989359
disease,region,0.5723868094317707,0.5705273337318579,0.5709990405063895
disease,religion,0.5672607603833365,0.5710026707261123,0.5684846518194051
disease,sexual_orientation,0.5794781149582736,0.5816823615310356,0.5799277215721119
educational_qualification,educational_qualification,0.5948038118627584,0.5977807100823711,0.5954547227703819
educational_qualification,ethnicity,0.5773145330075098,0.5403490138140438,0.5573909612184542
educational_qualification,gender,0.5919893200104428,0.6007380347037851,0.595658182931384
educational_qualification,nationality,0.5860779561762469,0.5833335818299002,0.5841008735768706
educational_qualification,physical_appearance,0.5895086034293464,0.5853007967851294,0.5865740091245907
educational_qualification,race,0.5916008885312866,0.5829650940779783,0.5864761566545683
educational_qualification,region,0.5845222637909084,0.5730039995142329,0.5780471285973601
educational_qualification,religion,0.5770796980405638,0.5709122893163742,0.5731758454795749
educational_qualification,sexual_orientation,0.5838813076128548,0.575219195402077,0.5786718107594742
ethnicity,ethnicity,0.6049318797766811,0.6044877596053211,0.6037555607254416
ethnicity,gender,0.5393705014333748,0.5846930312151891,0.5603887440019235
ethnicity,nationality,0.5721715588320245,0.6080646738065871,0.5888788866667717
ethnicity,physical_appearance,0.546241243227145,0.5793693942809343,0.5615375846838011
ethnicity,race,0.5688213218993934,0.5985027919071187,0.5824488531669565
ethnicity,region,0.5796652022831362,0.6071527767937974,0.5923782942750035
ethnicity,religion,0.5636141569498553,0.593515365785668,0.5772913552270994
ethnicity,sexual_orientation,0.5442911433893847,0.5732875397962447,0.5575960387767754
gender,gender,0.6052267172735588,0.6065242012463141,0.6053551877078985
gender,nationality,0.5994260115213961,0.5884866107298226,0.5934339474861102
gender,physical_appearance,0.6000894960458035,0.5871588449491545,0.5928811006070536
gender,race,0.6015489405899406,0.5843666139583708,0.5921917394814606
gender,region,0.5960948127158887,0.5764175479694608,0.5855527592514279
gender,religion,0.5891389928589053,0.5748941885322163,0.5812586795159582
gender,sexual_orientation,0.5918791916944436,0.574119970244831,0.5821622943996335
nationality,nationality,0.6083410147490635,0.6092246614413694,0.6083476070754213
nationality,physical_appearance,0.5867575719606077,0.5854629800613291,0.5855276208032429
nationality,race,0.6024802043341569,0.596345143417342,0.5988103357670007
nationality,region,0.6075524331846369,0.5992071998507055,0.6028722472374417
nationality,religion,0.5951598366429902,0.5909496660241556,0.5924298244239345
nationality,sexual_orientation,0.5807075625000905,0.5745103940173172,0.5769685964034081
physical_appearance,physical_appearance,0.5924121028665191,0.5894850077177074,0.5901321110261396
physical_appearance,race,0.588749430865437,0.5842827622728055,0.5857577964991687
physical_appearance,region,0.5840357311695714,0.5765040207586168,0.5796188638965795
physical_appearance,religion,0.5760365428697346,0.573798275396336,0.5741319008971476
physical_appearance,sexual_orientation,0.582585893422291,0.5782321420234042,0.5795866805495831
race,race,0.6028858364501952,0.5924591563772639,0.5969123768154795
race,region,0.5961019879239038,0.5937126041756627,0.594270665687223
race,religion,0.5842982455508473,0.5861675741016801,0.5844612655340106
race,sexual_orientation,0.5791553932641367,0.5790286359756849,0.5783105105524126
region,region,0.6057013569114215,0.6025994764878482,0.6036345120677674
region,religion,0.5851585332997603,0.5887808237149232,0.5862923841730174
region,sexual_orientation,0.5701703266238982,0.5725161738110042,0.5706754692147868
religion,region,0.5922326100983423,0.579577284956255,0.5852549499504544
religion,religion,0.5843307091940836,0.5910963956283624,0.5868693206409245
religion,sexual_orientation,0.5703459723345727,0.5682022460096804,0.5684377541916789
sexual_orientation,region,0.5724436100308018,0.5600446809044455,0.5656823683089542
sexual_orientation,sexual_orientation,0.573116299071587,0.5804204837831373,0.5758970857299731
